rodada,timestamp,date,time_end,multiplicador,multiplicador_str,minuto,total,ingested_at
3108850,2025-09-20T20:58:06,2025-09-20,20:58:06,4.45,4.45,58,1,2025-09-21T00:43:22.447867+00:00
3108849,2025-09-20T20:57:50,2025-09-20,20:57:50,1.5,1.5,57,1,2025-09-21T00:43:22.447867+00:00
3108848,2025-09-20T20:57:34,2025-09-20,20:57:34,1.63,1.63,57,1,2025-09-21T00:43:22.447867+00:00
3108847,2025-09-20T20:57:04,2025-09-20,20:57:04,4.69,4.69,57,1,2025-09-21T00:43:22.447867+00:00
3108846,2025-09-20T20:56:32,2025-09-20,20:56:32,5.81,5.81,56,1,2025-09-21T00:43:22.447867+00:00
3108845,2025-09-20T20:56:04,2025-09-20,20:56:04,4.19,4.19,56,1,2025-09-21T00:43:22.447867+00:00
3108844,2025-09-20T20:55:42,2025-09-20,20:55:42,2.65,2.65,55,1,2025-09-21T00:43:22.447867+00:00
3108843,2025-09-20T20:55:20,2025-09-20,20:55:20,2.77,2.77,55,1,2025-09-21T00:43:22.447867+00:00
3108842,2025-09-20T20:54:42,2025-09-20,20:54:42,10.03,10.03,54,1,2025-09-21T00:43:22.447867+00:00
3108841,2025-09-20T20:54:23,2025-09-20,20:54:23,2.11,2.11,54,1,2025-09-21T00:43:22.447867+00:00
3108840,2025-09-20T20:53:59,2025-09-20,20:53:59,2.62,2.62,53,1,2025-09-21T00:43:22.447867+00:00
3108839,2025-09-20T20:53:33,2025-09-20,20:53:33,3.37,3.37,53,1,2025-09-21T00:43:22.447867+00:00
3108838,2025-09-20T20:53:23,2025-09-20,20:53:23,1.0,1,53,1,2025-09-21T00:43:22.447867+00:00
3108837,2025-09-20T20:53:05,2025-09-20,20:53:05,1.82,1.82,53,1,2025-09-21T00:43:22.447867+00:00
3108957,2025-09-20T21:43:20,2025-09-20,21:43:20,4.62,4.62,43,1,2025-09-21T00:43:48.278232+00:00
3108964,2025-09-20T21:46:36,2025-09-20,21:46:36,1.63,1.63,46,1,2025-09-21T00:46:55.883855+00:00
3108963,2025-09-20T21:45:47,2025-09-20,21:45:47,24.84,24.84,45,1,2025-09-21T00:46:55.883855+00:00
3108962,2025-09-20T21:45:25,2025-09-20,21:45:25,1.83,1.83,45,1,2025-09-21T00:46:55.883855+00:00
3108961,2025-09-20T21:45:03,2025-09-20,21:45:03,2.27,2.27,45,1,2025-09-21T00:46:55.883855+00:00
3108960,2025-09-20T21:44:30,2025-09-20,21:44:30,6.1,6.1,44,1,2025-09-21T00:46:55.883855+00:00
3108959,2025-09-20T21:44:08,2025-09-20,21:44:08,2.58,2.58,44,1,2025-09-21T00:46:55.883855+00:00
3108958,2025-09-20T21:43:48,2025-09-20,21:43:48,1.91,1.91,43,1,2025-09-21T00:46:55.883855+00:00
3108965,2025-09-20T21:46:52,2025-09-20,21:46:52,5.36,5.36,46,1,2025-09-21T00:47:20.508736+00:00
